#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     0.98071     0.98071           0
           2    0.966058    0.973384  0.00518033
           3    0.965929    0.970899  0.00400554
           4    0.976882    0.972395  0.00327151
           5    0.974412    0.972798  0.00264196
           6     0.96731    0.971883  0.00235466
           7    0.967081    0.971197  0.00211588
           8    0.963968    0.970294  0.00203522
           9    0.970935    0.970365  0.00181033
          10    0.966402    0.969969  0.00167212
          11    0.978959    0.970786  0.00170822
          12    0.974287    0.971078  0.00159059
          13    0.956732    0.969974  0.00181104
          14    0.979911    0.970684  0.00181545
          15    0.969512    0.970606  0.00169611
          16    0.970069    0.970572  0.00159043
          17    0.965141    0.970253  0.00152863
          18    0.971985    0.970349  0.00144673
          19    0.993621    0.971574  0.00181652
          20    0.963062    0.971148  0.00177485
          21     0.96926    0.971058  0.00169261
          22    0.968951    0.970963  0.00161838
          23    0.968096    0.970838   0.0015528
          24    0.971509    0.970866  0.00148836
          25    0.967088    0.970715  0.00143647
          26    0.954763    0.970101  0.00150656
          27    0.964723    0.969902  0.00146387
          28    0.965039    0.969728  0.00142186
          29    0.979848    0.970077    0.001415
          30    0.959336    0.969719   0.0014124
          31    0.976025    0.969923  0.00138141
          32    0.964918    0.969766  0.00134707
          33    0.959844    0.969466  0.00133938
          34    0.961923    0.969244  0.00131823
          35    0.964718    0.969114  0.00128689
          36    0.964207    0.968978  0.00125835
          37    0.977596    0.969211  0.00124571
          38    0.964806    0.969095  0.00121831
          39    0.966106    0.969019  0.00118948
          40    0.967988    0.968993  0.00116002
          41    0.972106    0.969069  0.00113421
          42    0.976664     0.96925  0.00112153
          43    0.963098    0.969106  0.00110453
          44    0.954402    0.968772  0.00112885
          45    0.969278    0.968783  0.00110383
          46    0.957391    0.968536  0.00110727
          47    0.951878    0.968181  0.00113902
          48    0.971318    0.968247  0.00111716
          49    0.966168    0.968204  0.00109517
          50    0.977156    0.968383   0.0010878
          51    0.949575    0.968015  0.00112725
          52    0.956662    0.967796  0.00112652
          53    0.968877    0.967817  0.00110545
          54    0.986277    0.968159  0.00113661
          55     0.97361    0.968258  0.00112026
          56    0.965214    0.968203  0.00110157
          57    0.965352    0.968153  0.00108338
          58    0.974745    0.968267  0.00107065
          59    0.984638    0.968544  0.00108786
          60    0.993365    0.968958  0.00114568
          61    0.975294    0.969062   0.0011316
          62    0.958385     0.96889  0.00112638
          63    0.958143    0.968719  0.00112134
          64    0.964102    0.968647  0.00110614
          65    0.963744    0.968572  0.00109169
          66    0.965444    0.968524  0.00107618
          67    0.964645    0.968466  0.00106167
          68    0.960166    0.968344  0.00105305
          69     0.97176    0.968394  0.00103895
          70    0.966957    0.968373  0.00102431
          71    0.972774    0.968435  0.00101176
          72    0.964846    0.968385 0.000998934
          73    0.958882    0.968255 0.000993696
          74    0.978501    0.968394 0.000989866
          75    0.984719    0.968611  0.00100032
          76    0.977058    0.968722 0.000993308
          77    0.956124    0.968559 0.000993791
          78    0.962024    0.968475 0.000984575
