#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.18545    -5.18545           0
           2    -5.05397    -5.11971    0.046486
           3    -5.03038    -5.08993   0.0393889
           4    -5.04195    -5.07794   0.0313151
           5    -5.06027     -5.0744   0.0252506
           6    -5.04655    -5.06976   0.0214648
           7    -5.06232     -5.0687   0.0184247
           8    -5.05022    -5.06639   0.0162657
           9    -5.03417    -5.06281   0.0148471
          10    -5.04242    -5.06077   0.0135016
          11    -5.04778    -5.05959   0.0123257
          12     -5.0724    -5.06066   0.0113447
          13     -5.0342    -5.05862   0.0106529
          14    -5.06605    -5.05915  0.00990519
          15    -5.06485    -5.05953  0.00925212
          16    -5.06916    -5.06013  0.00869342
          17    -4.97768    -5.05528  0.00943863
          18    -5.02235    -5.05345  0.00908984
          19    -5.05005    -5.05327  0.00861319
          20    -5.04955    -5.05309  0.00818455
          21    -5.05907    -5.05337  0.00779976
          22     -5.0197    -5.05184  0.00759396
          23    -5.06106    -5.05224  0.00727435
          24    -5.06801     -5.0529  0.00700087
          25    -5.02535     -5.0518  0.00680701
          26    -5.05545    -5.05194  0.00654665
          27     -5.0118    -5.05045   0.0064708
          28    -5.02845    -5.04967  0.00628723
          29    -5.09812    -5.05134  0.00628854
          30    -5.02567    -5.05048  0.00613683
          31    -5.04139    -5.05019  0.00594586
          32    -5.05537    -5.05035  0.00576225
          33    -5.01519    -5.04928  0.00568529
          34    -5.03283     -5.0488  0.00553863
          35    -5.00438    -5.04753  0.00552386
          36     -5.0438    -5.04743  0.00537139
          37    -5.04932    -5.04748  0.00522646
          38    -5.04375    -5.04738  0.00508984
          39    -5.01298     -5.0465  0.00503517
          40    -5.06065    -5.04685   0.0049217
          41    -5.04781    -5.04688  0.00480171
          42    -5.06922    -5.04741  0.00471676
          43    -5.00702    -5.04647  0.00469965
          44    -4.97552    -5.04486  0.00486157
          45    -5.04798    -5.04493  0.00475403
          46    -4.98747    -5.04368  0.00481197
          47    -4.98097    -5.04234  0.00489106
          48    -5.00634    -5.04159  0.00484634
          49     -5.0772    -5.04232   0.0048016
          50    -5.04046    -5.04228  0.00470571
          51    -4.97145    -5.04089  0.00481405
          52    -5.04277    -5.04093   0.0047216
          53    -5.00323    -5.04022  0.00468578
          54    -5.07289    -5.04082   0.0046379
          55    -5.08317    -5.04159  0.00461703
          56    -5.01146    -5.04105  0.00456583
          57    -4.98021    -5.03999  0.00460883
          58    -5.01574    -5.03957  0.00454829
          59    -5.06226    -5.03995  0.00448743
          60    -5.11371    -5.04118   0.0045779
          61    -5.06494    -5.04157  0.00451939
          62    -5.03624    -5.04149  0.00444732
          63    -5.03594     -5.0414   0.0043776
          64    -5.03293    -5.04127   0.0043112
          65    -5.07242    -5.04175  0.00427143
          66    -5.02703    -5.04152  0.00421253
          67    -5.02539    -5.04128  0.00415653
          68    -4.99515     -5.0406   0.0041504
          69    -5.04051     -5.0406  0.00409025
          70    -5.01993    -5.04031  0.00404247
          71    -5.05249    -5.04048  0.00398917
          72    -5.04034    -5.04048  0.00393376
          73    -5.00687    -5.04002  0.00390673
          74    -5.07365    -5.04047  0.00388028
          75    -5.01833    -5.04018  0.00383976
          76    -5.03461     -5.0401  0.00378993
          77    -5.02178    -5.03986  0.00374817
          78    -4.98572    -5.03917  0.00376385
          79    -5.07616    -5.03964  0.00374522
          80    -5.03325    -5.03956  0.00369926
          81    -5.08164    -5.04008  0.00368989
          82    -5.02791    -5.03993  0.00364788
          83    -5.02405    -5.03974  0.00360894
          84     -5.0159    -5.03945  0.00357712
          85    -4.97852    -5.03874  0.00360616
          86    -5.05633    -5.03894  0.00357002
          87    -5.03908    -5.03894  0.00352899
          88    -5.02542    -5.03879  0.00349223
          89    -5.08122    -5.03927  0.00348538
          90    -4.99507    -5.03878  0.00348107
          91    -5.04066     -5.0388  0.00344288
          92      -5.076     -5.0392  0.00342912
          93    -5.04122    -5.03922  0.00339232
          94    -5.02034    -5.03902  0.00336217
          95    -5.00114    -5.03862  0.00335034
          96    -5.01906    -5.03842  0.00332163
          97    -5.03809    -5.03842  0.00328739
          98    -5.00128    -5.03804  0.00327561
          99    -5.06362     -5.0383   0.0032527
         100    -5.01187    -5.03803  0.00323089
         101    -5.00422     -5.0377   0.0032162
         102    -5.03317    -5.03765  0.00318497
         103    -5.10195    -5.03828  0.00321465
         104     -5.0265    -5.03816  0.00318573
         105    -5.02186    -5.03801  0.00315917
         106    -5.06308    -5.03824  0.00313821
         107    -5.05628    -5.03841  0.00311341
         108     -5.0508    -5.03853  0.00308669
         109    -5.04196    -5.03856  0.00305853
         110     -5.0577    -5.03873  0.00303568
         111    -5.02057    -5.03857  0.00301273
         112    -5.05753    -5.03874  0.00299059
         113    -5.03363    -5.03869  0.00296447
         114    -5.00366    -5.03839  0.00295435
         115    -5.05531    -5.03853  0.00293232
         116    -5.05666    -5.03869   0.0029112
         117    -5.07457      -5.039  0.00290243
         118    -5.04438    -5.03904  0.00287819
         119    -5.04566     -5.0391  0.00285454
         120    -5.01894    -5.03893  0.00283569
         121    -5.06253    -5.03912  0.00281896
         122    -5.00407    -5.03884  0.00281046
         123     -4.9788    -5.03835  0.00282967
         124     -5.0035    -5.03807  0.00282078
         125    -5.10822    -5.03863   0.0028535
         126    -5.04728     -5.0387  0.00283168
         127    -5.07376    -5.03897  0.00282281
         128    -5.07855    -5.03928  0.00281764
         129    -4.99309    -5.03893  0.00281846
         130    -5.01493    -5.03874  0.00280282
         131    -5.05166    -5.03884  0.00278316
         132    -5.04499    -5.03889  0.00276247
         133    -5.02814    -5.03881  0.00274288
         134    -4.98641    -5.03841  0.00275014
         135    -5.08872    -5.03879  0.00275489
         136    -5.05429     -5.0389  0.00273699
         137    -5.07478    -5.03916  0.00272951
         138    -5.03866    -5.03916  0.00270974
         139    -4.99964    -5.03887  0.00270512
         140    -5.03153    -5.03882   0.0026863
         141    -5.01799    -5.03867  0.00267131
         142    -5.01382     -5.0385  0.00265823
         143    -5.02453     -5.0384  0.00264143
         144    -5.05922    -5.03855  0.00262704
         145    -5.05635    -5.03867  0.00261179
         146    -5.05667    -5.03879  0.00259681
         147     -5.0883    -5.03913   0.0026009
         148    -4.99139    -5.03881  0.00260325
         149    -5.03046    -5.03875  0.00258638
         150    -5.00939    -5.03855  0.00257653
         151    -5.07211    -5.03878  0.00256904
         152    -5.01017    -5.03859  0.00255902
         153    -5.00187    -5.03835  0.00255352
         154    -5.01878    -5.03822   0.0025401
         155     -5.0076    -5.03802  0.00253138
         156    -5.00957    -5.03784  0.00252171
         157    -5.04542    -5.03789  0.00250611
         158    -5.05405    -5.03799  0.00249234
         159    -5.02658    -5.03792   0.0024777
         160    -4.98945    -5.03762  0.00248066
         161    -5.02799    -5.03756  0.00246598
         162    -5.04186    -5.03758   0.0024509
         163    -5.07223     -5.0378  0.00244506
         164    -5.02408    -5.03771  0.00243158
         165    -4.99681    -5.03747  0.00242945
         166    -5.00502    -5.03727  0.00242266
         167     -5.0141    -5.03713  0.00241213
         168    -5.04716    -5.03719  0.00239851
         169    -5.04403    -5.03723  0.00238466
         170    -5.02465    -5.03716  0.00237178
         171    -5.03661    -5.03715  0.00235791
         172    -5.00763    -5.03698  0.00235044
         173    -5.01164    -5.03684  0.00234141
         174    -5.05524    -5.03694  0.00233035
         175     -5.1084    -5.03735  0.00235253
         176    -4.99599    -5.03712  0.00235087
         177    -4.99501    -5.03688  0.00234959
         178    -5.00885    -5.03672  0.00234166
         179    -5.01617    -5.03661  0.00233139
         180    -5.07416    -5.03681  0.00232776
         181     -4.9957    -5.03659  0.00232595
