#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19215     1.19215           0
           2     1.20321     1.19768  0.00391304
           3      1.2037     1.19969  0.00307979
           4     1.20433     1.20085  0.00251898
           5     1.20972     1.20262  0.00256509
           6     1.20509     1.20303  0.00217036
           7      1.1962     1.20206   0.0020683
           8     1.20702     1.20268  0.00190065
           9     1.19949     1.20232  0.00172214
          10     1.21048     1.20314  0.00173226
          11     1.20206     1.20304  0.00157758
          12     1.19994     1.20278  0.00146707
          13     1.19493     1.20218  0.00147319
          14     1.21065     1.20278  0.00148715
          15       1.196     1.20233  0.00145505
          16     1.20948     1.20278  0.00143113
          17     1.18973     1.20201  0.00153895
          18     1.20682     1.20228  0.00147644
          19     1.20518     1.20243  0.00140659
          20     1.20781      1.2027  0.00136172
          21     1.20953     1.20303  0.00133516
          22     1.19558     1.20269  0.00131664
          23     1.21239     1.20311   0.0013252
          24     1.19242     1.20266  0.00134272
          25     1.20673     1.20283  0.00129882
          26     1.19769     1.20263  0.00126381
          27     1.20207     1.20261  0.00121717
          28     1.20157     1.20257  0.00117427
          29     1.19547     1.20233  0.00115902
          30     1.21561     1.20277  0.00120206
          31     1.20171     1.20273  0.00116377
          32     1.20558     1.20282  0.00113079
          33     1.20252     1.20281  0.00109656
          34      1.1891     1.20241  0.00113607
          35     1.21002     1.20263  0.00112423
          36     1.19565     1.20243  0.00110959
          37     1.22515     1.20305  0.00123781
          38      1.1879     1.20265  0.00126783
          39     1.21383     1.20294   0.0012673
          40     1.20413     1.20297  0.00123597
          41     1.18937     1.20263   0.0012495
          42     1.20742     1.20275  0.00122494
          43     1.19642      1.2026  0.00120528
          44     1.21053     1.20278  0.00119127
          45     1.20229     1.20277  0.00116485
          46     1.19962      1.2027  0.00114153
          47      1.2079     1.20281  0.00112259
          48     1.19146     1.20258  0.00112382
          49     1.22023     1.20294  0.00115719
          50     1.19076     1.20269  0.00115937
          51     1.21255     1.20289  0.00115263
          52     1.20978     1.20302  0.00113806
          53     1.19385     1.20285  0.00112967
          54      1.2084     1.20295  0.00111342
          55      1.1991     1.20288  0.00109537
          56     1.21532      1.2031   0.0010981
          57     1.19028     1.20288  0.00110164
          58     1.19842      1.2028  0.00108532
          59     1.21018     1.20292  0.00107412
          60     1.20373     1.20294   0.0010563
          61     1.19705     1.20284  0.00104338
          62     1.19635     1.20274   0.0010318
          63      1.1968     1.20264  0.00101971
          64      1.2043     1.20267  0.00100411
          65     1.20666     1.20273 0.000990541
          66      1.2041     1.20275  0.00097575
          67     1.19857     1.20269 0.000963182
          68     1.20413     1.20271 0.000949252
          69     1.21173     1.20284 0.000944456
          70     1.20022      1.2028 0.000931708
          71     1.20453     1.20283 0.000918904
          72     1.20129     1.20281  0.00090639
          73     1.21557     1.20298  0.00091069
          74     1.18719     1.20277 0.000923041
          75     1.21307      1.2029 0.000920896
          76     1.20241      1.2029 0.000908803
          77      1.2127     1.20302 0.000905868
          78      1.2023     1.20302 0.000894302
          79     1.19793     1.20295 0.000885292
