#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.794765    0.794765           0
           2    0.802143    0.798454  0.00260869
           3    0.802464    0.799791   0.0020532
           4    0.802885    0.800564  0.00167932
           5    0.806479    0.801747  0.00171006
           6    0.803394    0.802022  0.00144691
           7    0.797465    0.801371  0.00137886
           8    0.804682    0.801785   0.0012671
           9     0.79966    0.801549  0.00114809
          10    0.806985    0.802092  0.00115484
          11    0.801371    0.802027  0.00105172
          12    0.799962    0.801854 0.000978048
          13    0.796623    0.801452 0.000982126
          14    0.807102    0.801856 0.000991433
          15    0.797336    0.801554 0.000970035
          16    0.806323    0.801852 0.000954088
          17    0.793156    0.801341  0.00102597
          18    0.804546    0.801519 0.000984295
          19    0.803451    0.801621 0.000937727
          20    0.805206      0.8018 0.000907815
          21    0.806353    0.802017 0.000890106
          22    0.797055    0.801791 0.000877758
          23    0.808257    0.802072 0.000883467
          24    0.794947    0.801775 0.000895149
          25    0.804485    0.801884 0.000865881
          26    0.798459    0.801752 0.000842539
          27    0.801382    0.801738 0.000811446
          28    0.801044    0.801714 0.000782844
          29     0.79698     0.80155 0.000772681
          30     0.81041    0.801846 0.000801374
          31    0.801143    0.801823 0.000775844
          32     0.80372    0.801882  0.00075386
          33    0.801682    0.801876  0.00073104
          34    0.792734    0.801607 0.000757377
          35    0.806682    0.801752  0.00074949
          36      0.7971    0.801623 0.000739727
          37    0.816765    0.802032 0.000825208
          38    0.791932    0.801766 0.000845217
          39    0.809218    0.801958 0.000844866
          40    0.802756    0.801977  0.00082398
          41    0.792915    0.801756    0.000833
          42    0.804949    0.801832 0.000816628
          43    0.797611    0.801734 0.000803518
          44    0.807018    0.801854  0.00079418
          45    0.801527    0.801847 0.000776565
          46    0.799749    0.801801 0.000761022
          47    0.805266    0.801875 0.000748392
          48    0.794309    0.801718 0.000749214
          49    0.813486    0.801958 0.000771462
          50    0.793843    0.801795 0.000772915
          51    0.808366    0.801924 0.000768421
          52    0.806521    0.802013  0.00075871
          53    0.795899    0.801897 0.000753112
          54    0.805599    0.801966 0.000742279
          55    0.799399    0.801919 0.000730248
          56    0.810211    0.802067 0.000732065
          57    0.793517    0.801917 0.000734429
          58    0.798947    0.801866 0.000723549
          59    0.806788     0.80195 0.000716079
          60    0.802486    0.801958 0.000704201
          61    0.798034    0.801894 0.000695589
          62    0.797565    0.801824 0.000687865
          63    0.797867    0.801761 0.000679809
          64    0.802868    0.801779 0.000669407
          65    0.804441     0.80182 0.000660361
          66    0.802733    0.801834   0.0006505
          67    0.799045    0.801792 0.000642122
          68    0.802754    0.801806 0.000632834
          69     0.80782    0.801893 0.000629637
          70    0.800143    0.801868 0.000621138
          71    0.803022    0.801885 0.000612603
          72    0.800859     0.80187  0.00060426
          73    0.810382    0.801987 0.000607126
          74     0.79146    0.801845 0.000615361
          75    0.808712    0.801936 0.000613931
          76    0.801604    0.801932 0.000605868
          77    0.808465    0.802017 0.000603912
          78    0.801535     0.80201 0.000596201
          79    0.798623    0.801968 0.000590194
          80    0.801712    0.801964 0.000582826
          81    0.807957    0.802038 0.000580306
          82    0.798954    0.802001 0.000574447
          83    0.801588    0.801996 0.000567547
          84    0.806051    0.802044 0.000562841
          85     0.79366    0.801945 0.000564795
          86    0.807068    0.802005  0.00056136
          87    0.808127    0.802075   0.0005593
          88    0.797788    0.802027 0.000555062
          89    0.811616    0.802134 0.000559185
          90    0.799945     0.80211 0.000553501
          91    0.802472    0.802114 0.000547432
          92    0.795165    0.802039 0.000546669
          93       0.804     0.80206 0.000541197
          94    0.800975    0.802048 0.000535563
          95    0.809433    0.802126 0.000535538
          96    0.796675    0.802069 0.000532961
          97     0.80618    0.802111 0.000529149
          98    0.801885    0.802109 0.000523755
          99    0.799817    0.802086 0.000518976
         100    0.806152    0.802127 0.000515376
         101    0.803128    0.802137 0.000510369
         102    0.805005    0.802165  0.00050614
         103    0.809468    0.802236 0.000506168
         104    0.800972    0.802223 0.000501447
         105    0.801749    0.802219 0.000496691
         106    0.796106    0.802161 0.000495342
         107    0.804236    0.802181 0.000491092
         108    0.803054    0.802189 0.000486611
         109    0.792046    0.802096 0.000490963
         110    0.803836    0.802111 0.000486754
         111    0.798709    0.802081 0.000483333
         112    0.805959    0.802115 0.000480257
         113     0.80237    0.802118 0.000476012
         114    0.805847     0.80215 0.000472959
         115    0.800026    0.802132 0.000469207
         116     0.79888    0.802104 0.000465999
         117    0.798075    0.802069 0.000463287
         118    0.809537    0.802133 0.000463663
         119    0.803238    0.802142 0.000459859
         120    0.802418    0.802144 0.000456033
         121    0.803547    0.802156 0.000452412
         122    0.801641    0.802152 0.000448723
         123    0.809382     0.80221 0.000448909
         124    0.801608    0.802206 0.000445315
         125    0.796583    0.802161 0.000444018
         126    0.810703    0.802228  0.00044564
         127    0.797058    0.802188 0.000443987
         128    0.800382    0.802174 0.000440742
         129    0.799709    0.802155  0.00043774
         130    0.805035    0.802177 0.000434933
         131    0.809212     0.80223 0.000434915
