#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2 8.60319e-09
           7         1.2         1.2 7.96501e-09
           8         1.2         1.2 7.45058e-09
           9         1.2         1.2 7.02447e-09
          10         1.2         1.2   6.664e-09
          11         1.2         1.2 6.35388e-09
          12         1.2         1.2 6.08337e-09
          13         1.2         1.2 5.84472e-09
          14         1.2         1.2 5.63211e-09
          15         1.2         1.2           0
          16         1.2         1.2           0
          17         1.2         1.2           0
          18         1.2         1.2 4.96705e-09
          19         1.2         1.2 4.83458e-09
          20         1.2         1.2 4.71216e-09
          21         1.2         1.2  4.5986e-09
          22         1.2         1.2 7.10385e-09
          23         1.2         1.2  6.9477e-09
          24         1.2         1.2 6.80142e-09
          25         1.2         1.2 7.30005e-09
          26         1.2         1.2 7.15829e-09
          27         1.2         1.2  7.5873e-09
          28         1.2         1.2 5.63211e-09
          29         1.2         1.2 6.18737e-09
          30         1.2         1.2 6.08337e-09
          31         1.2         1.2 5.35266e-09
          32         1.2         1.2 5.26836e-09
          33         1.2         1.2 5.18792e-09
          34         1.2         1.2  4.4263e-09
          35         1.2         1.2 4.36261e-09
          36         1.2         1.2 4.30159e-09
          37         1.2         1.2 4.24307e-09
          38         1.2         1.2 2.41729e-09
          39         1.2         1.2  2.3861e-09
          40         1.2         1.2 2.35608e-09
          41         1.2         1.2 2.32717e-09
          42         1.2         1.2  3.2517e-09
          43         1.2         1.2           0
          44         1.2         1.2           0
          45         1.2         1.2           0
          46         1.2         1.2           0
          47         1.2         1.2 2.17356e-09
          48         1.2         1.2  2.1508e-09
          49         1.2         1.2 3.01049e-09
          50         1.2         1.2 4.71216e-09
          51         1.2         1.2 5.11106e-09
          52         1.2         1.2 5.06167e-09
          53         1.2         1.2 5.01369e-09
          54         1.2         1.2 5.36503e-09
          55         1.2         1.2 5.31603e-09
          56         1.2         1.2 5.63211e-09
          57         1.2         1.2 5.58249e-09
          58         1.2         1.2 5.53415e-09
          59         1.2         1.2 6.43414e-09
          60         1.2         1.2  6.3803e-09
          61         1.2         1.2 6.32778e-09
          62         1.2         1.2 6.27654e-09
          63         1.2         1.2  6.5034e-09
          64         1.2         1.2 6.45239e-09
          65         1.2         1.2 6.40257e-09
          66         1.2         1.2 6.61332e-09
          67         1.2         1.2 6.56379e-09
          68         1.2         1.2 6.51534e-09
          69         1.2         1.2 6.46796e-09
          70         1.2         1.2 6.42159e-09
          71         1.2         1.2 6.61691e-09
          72         1.2         1.2 7.02447e-09
          73         1.2         1.2  6.9762e-09
          74         1.2         1.2  6.9289e-09
          75         1.2         1.2 6.88255e-09
          76         1.2         1.2 7.04754e-09
          77         1.2         1.2 7.00163e-09
          78         1.2         1.2  6.9566e-09
          79         1.2         1.2 6.91243e-09
          80         1.2         1.2  6.8691e-09
          81         1.2         1.2 7.02447e-09
          82         1.2         1.2 6.98151e-09
          83         1.2         1.2 6.93933e-09
          84         1.2         1.2  6.8979e-09
          85         1.2         1.2  6.8572e-09
          86         1.2         1.2 6.81722e-09
          87         1.2         1.2 6.77792e-09
          88         1.2         1.2 6.92398e-09
